,target_value,predicted_value,predicted_value_scaled
629,5.0,4.71428571429,4.5
639,5.0,4.50833333333,4.5
639,5.0,4.50833333333,4.5
639,5.0,4.50833333333,4.5
641,5.0,4.3115942029,4.5
656,4.0,4.11492443325,4.0
662,4.5,4.61350574713,4.5
685,4.5,4.31882440476,4.5
691,5.0,4.61350574713,4.5
706,5.0,4.50833333333,4.5
716,5.0,4.50833333333,4.5
716,5.0,4.50833333333,4.5
721,4.5,4.61350574713,4.5
728,4.5,4.07113303628,4.0
730,5.0,4.61350574713,4.5
746,4.5,4.85080645161,5.0
757,5.0,4.31882440476,4.5
765,5.0,4.61350574713,4.5
774,4.0,4.50833333333,4.5
779,4.5,4.25389518414,4.5
786,4.5,4.42830882353,4.5
787,4.0,4.07113303628,4.0
797,5.0,4.61350574713,4.5
799,4.5,4.31882440476,4.5
804,4.0,4.61350574713,4.5
806,3.5,4.50833333333,4.5
814,5.0,4.61350574713,4.5
817,5.0,4.85080645161,5.0
821,5.0,4.25389518414,4.5
826,4.5,4.61350574713,4.5
828,5.0,4.48761609907,4.5
839,4.5,4.25389518414,4.5
847,4.5,4.42830882353,4.5
852,4.5,3.69511149228,3.5
863,5.0,4.3115942029,4.5
866,4.5,4.07113303628,4.0
873,4.5,4.42830882353,4.5
874,4.5,4.25389518414,4.5
882,5.0,4.3115942029,4.5
889,4.0,4.07113303628,4.0
892,4.5,4.07113303628,4.0
895,4.5,3.25148179509,3.5
896,4.5,3.86979166667,4.0
897,4.0,4.19736842105,4.0
915,5.0,4.07113303628,4.0
918,4.0,3.25148179509,3.5
930,4.5,3.69511149228,3.5
935,4.5,4.25389518414,4.5
942,5.0,4.25389518414,4.5
943,4.5,4.07113303628,4.0
947,5.0,4.25389518414,4.5
950,5.0,4.25389518414,4.5
955,4.5,3.53464673913,3.5
963,5.0,4.31882440476,4.5
968,4.5,4.25389518414,4.5
971,4.5,4.3115942029,4.5
974,4.5,3.98581757508,4.0
978,4.0,4.07113303628,4.0
990,4.5,4.25389518414,4.5
999,4.5,3.98581757508,4.0
999,4.5,3.98581757508,4.0
1009,3.5,3.53464673913,3.5
1032,5.0,4.85080645161,5.0
1041,4.5,4.11492443325,4.0
1041,4.5,4.11492443325,4.0
1044,4.0,3.98581757508,4.0
1048,4.0,3.72427502339,3.5
1055,4.5,4.42830882353,4.5
1067,4.0,4.85080645161,5.0
1070,4.5,3.98581757508,4.0
1083,4.0,4.85080645161,5.0
1086,3.5,4.31882440476,4.5
1116,5.0,4.02077656676,4.0
1118,4.5,4.02077656676,4.0
1141,5.0,3.69511149228,3.5
1147,4.0,4.07113303628,4.0
1157,3.5,4.02077656676,4.0
1161,4.5,4.3115942029,4.5
1162,4.0,4.07113303628,4.0
1166,4.5,4.85080645161,5.0
1167,4.5,3.72427502339,3.5
1174,4.0,4.71428571429,4.5
1187,4.5,4.3115942029,4.5
1188,4.5,4.48761609907,4.5
1191,5.0,4.02077656676,4.0
1199,4.0,4.42830882353,4.5
1199,4.0,4.42830882353,4.5
1218,4.5,4.07113303628,4.0
1233,3.0,4.11492443325,4.0
1234,2.0,4.19736842105,4.0
1252,4.5,4.31882440476,4.5
1281,4.5,4.02077656676,4.0
1288,4.5,2.9375,3.0
1289,4.0,4.31882440476,4.5
1289,4.0,4.31882440476,4.5
1304,4.5,4.36813186813,4.5
1321,4.5,4.19736842105,4.0
1321,4.5,4.19736842105,4.0
1322,4.5,4.19736842105,4.0
1323,4.0,2.19110576923,2.0
1338,4.0,4.31882440476,4.5
1347,4.0,4.31882440476,4.5
1367,4.0,4.31882440476,4.5
1374,5.0,4.3115942029,4.5
1382,4.0,4.19736842105,4.0
1382,4.0,4.19736842105,4.0
1384,4.5,3.86979166667,4.0
1398,4.0,4.31882440476,4.5
1398,4.0,4.31882440476,4.5
1402,4.0,4.42830882353,4.5
1410,4.5,4.61350574713,4.5
1421,4.5,4.61350574713,4.5
1426,4.5,4.50833333333,4.5
1431,4.5,4.19736842105,4.0
1450,3.5,4.50833333333,4.5
1451,4.5,4.07113303628,4.0
1456,4.5,3.72427502339,3.5
1458,4.0,4.3115942029,4.5
1467,4.0,3.64806866953,3.5
1474,4.5,4.11492443325,4.0
1485,3.5,4.31882440476,4.5
1494,4.0,4.31882440476,4.5
1498,5.0,2.75160599572,3.0
1498,5.0,2.75160599572,3.0
1499,4.0,4.31882440476,4.5
1509,4.0,3.76923076923,4.0
1514,4.0,4.25389518414,4.5
1516,4.5,3.72427502339,3.5
1528,4.5,4.07113303628,4.0
1530,4.5,4.3115942029,4.5
1532,4.0,4.31882440476,4.5
1541,4.0,3.86979166667,4.0
1546,3.0,4.23107569721,4.0
1559,4.5,4.07113303628,4.0
1562,4.0,4.11492443325,4.0
1563,4.0,4.48761609907,4.5
1566,4.5,4.50833333333,4.5
1578,4.5,4.61350574713,4.5
1585,4.5,4.02077656676,4.0
1585,4.5,4.02077656676,4.0
1590,4.0,4.42830882353,4.5
1591,4.5,4.50833333333,4.5
1597,4.0,4.71428571429,4.5
1615,4.5,4.60416666667,4.5
1615,4.5,4.60416666667,4.5
1621,4.0,4.11492443325,4.0
1626,4.5,4.61350574713,4.5
1634,2.5,4.25389518414,4.5
1639,5.0,4.3115942029,4.5
1640,5.0,4.31882440476,4.5
1643,4.0,4.25389518414,4.5
1673,4.0,4.50833333333,4.5
1674,3.5,4.61350574713,4.5
1675,4.5,4.85080645161,5.0
1681,4.5,4.02077656676,4.0
1689,5.0,4.25389518414,4.5
1699,4.0,4.71428571429,4.5
1704,3.0,4.61350574713,4.5
1705,4.5,4.11492443325,4.0
1712,4.0,4.31882440476,4.5
1718,5.0,4.42830882353,4.5
1721,4.5,4.31882440476,4.5
1725,4.5,3.72427502339,3.5
1733,4.5,4.07113303628,4.0
1745,4.5,4.07113303628,4.0
1750,5.0,4.07113303628,4.0
1751,5.0,3.98581757508,4.0
1758,4.5,4.31882440476,4.5
1764,4.0,4.31882440476,4.5
1790,4.5,4.11492443325,4.0
1795,4.0,4.23107569721,4.0
1799,4.5,4.42830882353,4.5
1802,5.0,4.42830882353,4.5
1808,4.5,4.23107569721,4.0
1818,4.5,4.23107569721,4.0
1819,4.5,3.67391304348,3.5
1824,4.5,4.61350574713,4.5
1829,4.0,4.31882440476,4.5
1830,5.0,4.61350574713,4.5
1835,4.5,3.72427502339,3.5
1839,4.5,4.31882440476,4.5
1840,4.0,4.50833333333,4.5
1841,4.0,4.42830882353,4.5
1844,5.0,4.85080645161,5.0
1849,4.5,4.11492443325,4.0
1849,4.5,4.11492443325,4.0
1859,4.5,4.07113303628,4.0
1864,4.0,4.50833333333,4.5
1874,4.0,4.31882440476,4.5
1877,3.0,4.25389518414,4.5
1878,5.0,4.42830882353,4.5
1891,4.5,4.11492443325,4.0
1894,4.5,4.31882440476,4.5
1895,4.5,3.72427502339,3.5
1898,4.5,4.11492443325,4.0
1904,3.5,3.98581757508,4.0
1905,4.0,4.50833333333,4.5
1906,4.5,4.02077656676,4.0
1907,4.0,3.72427502339,3.5
1911,4.0,4.02077656676,4.0
1915,5.0,4.07113303628,4.0
1916,5.0,4.23107569721,4.0
1919,4.0,4.60416666667,4.5
1923,5.0,4.61350574713,4.5
1936,4.5,4.25389518414,4.5
1937,4.0,3.72427502339,3.5
1943,4.0,4.3115942029,4.5
1953,4.5,4.3115942029,4.5
2014,5.0,4.19736842105,4.0
2023,4.5,3.72427502339,3.5
2031,4.5,4.07113303628,4.0
2041,4.5,4.02077656676,4.0
2042,3.0,4.31882440476,4.5
2042,3.0,4.31882440476,4.5
2086,4.5,4.48761609907,4.5
2088,4.0,3.25148179509,3.5
2091,5.0,4.42830882353,4.5
2093,4.5,4.07113303628,4.0
2094,4.0,4.07113303628,4.0
2097,3.0,4.61350574713,4.5
2099,4.5,4.23107569721,4.0
2103,4.5,4.07113303628,4.0
2124,5.0,3.69511149228,3.5
2126,4.5,4.11492443325,4.0
2132,4.0,4.07113303628,4.0
2137,4.0,4.42830882353,4.5
2148,4.5,3.86979166667,4.0
2148,4.5,3.86979166667,4.0
2155,4.5,4.11492443325,4.0
2163,4.0,4.02077656676,4.0
2165,5.0,4.25389518414,4.5
2166,4.5,3.64806866953,3.5
2170,4.0,4.31882440476,4.5
2170,4.0,4.31882440476,4.5
2180,4.5,2.19110576923,2.0
2180,4.5,2.19110576923,2.0
2186,4.0,4.07113303628,4.0
2189,4.0,4.07113303628,4.0
2191,5.0,4.07113303628,4.0
2193,5.0,4.23107569721,4.0
2195,4.5,3.72427502339,3.5
2195,4.5,3.72427502339,3.5
2202,4.0,3.72427502339,3.5
2207,5.0,4.36813186813,4.5
2212,5.0,4.07113303628,4.0
2221,4.5,4.42830882353,4.5
2228,5.0,4.49681528662,4.5
2231,4.0,4.23107569721,4.0
2248,4.5,4.19736842105,4.0
2281,2.5,1.14893617021,1.0
2296,4.0,4.61350574713,4.5
2299,4.5,3.72427502339,3.5
2306,4.0,4.23107569721,4.0
2310,5.0,2.19110576923,2.0
2316,4.5,3.64806866953,3.5
2317,5.0,4.42830882353,4.5
2321,5.0,2.75160599572,3.0
2338,4.5,4.50833333333,4.5
2339,4.0,4.31882440476,4.5
2342,4.5,4.07113303628,4.0
2348,3.0,4.07113303628,4.0
2349,3.0,4.3115942029,4.5
2350,4.5,4.61350574713,4.5
2354,4.5,3.25148179509,3.5
2358,5.0,4.3115942029,4.5
2362,4.5,4.3115942029,4.5
2370,4.0,4.42830882353,4.5
2372,5.0,4.3115942029,4.5
2382,4.5,4.3115942029,4.5
2384,4.5,4.3115942029,4.5
2384,4.5,4.3115942029,4.5
2400,4.5,3.64806866953,3.5
2407,4.0,3.72427502339,3.5
2433,4.0,4.11492443325,4.0
2434,4.5,4.11492443325,4.0
2434,4.5,4.11492443325,4.0
2436,3.5,3.72427502339,3.5
2439,5.0,3.72427502339,3.5
2443,5.0,4.42830882353,4.5
2462,4.0,4.07113303628,4.0
2464,3.0,4.42830882353,4.5
2473,4.0,3.31609195402,3.5
2481,3.5,4.02077656676,4.0
2482,4.0,4.02077656676,4.0
2486,4.5,4.50833333333,4.5
2493,3.0,4.31882440476,4.5
2497,4.5,4.11492443325,4.0
2497,4.5,4.11492443325,4.0
2499,4.5,4.3115942029,4.5
2500,5.0,4.19736842105,4.0
2505,4.5,4.07113303628,4.0
2505,4.5,4.07113303628,4.0
2511,4.5,3.72427502339,3.5
2515,4.5,4.48761609907,4.5
2517,4.0,4.07113303628,4.0
2518,3.5,4.61350574713,4.5
2529,4.5,4.07113303628,4.0
2534,4.0,4.11492443325,4.0
2536,4.0,4.07113303628,4.0
2536,4.0,4.07113303628,4.0
2546,4.5,4.07113303628,4.0
2549,2.5,4.31882440476,4.5
2557,4.0,3.72427502339,3.5
2558,4.5,3.72427502339,3.5
2560,4.5,4.19736842105,4.0
2560,4.5,4.19736842105,4.0
2563,5.0,3.44642857143,3.5
2580,5.0,4.11492443325,4.0
2585,4.0,3.64806866953,3.5
2591,4.0,4.48761609907,4.5
2602,4.0,4.31882440476,4.5
2610,5.0,4.25389518414,4.5
2617,4.0,4.11492443325,4.0
2626,5.0,4.3115942029,4.5
2629,5.0,4.11492443325,4.0
2631,4.5,4.42830882353,4.5
2637,4.5,4.61350574713,4.5
2645,5.0,4.61350574713,4.5
2648,4.0,4.07113303628,4.0
2650,5.0,4.85080645161,5.0
2651,5.0,3.72427502339,3.5
2664,4.5,4.25389518414,4.5
2690,5.0,4.50833333333,4.5
2708,5.0,4.48761609907,4.5
2710,4.5,4.42830882353,4.5
2717,5.0,4.31882440476,4.5
2723,4.5,4.07113303628,4.0
2728,4.5,4.71428571429,4.5
2729,4.0,4.61350574713,4.5
2739,4.5,4.85080645161,5.0
2747,4.0,4.42830882353,4.5
2750,4.5,4.11492443325,4.0
2752,4.5,4.42830882353,4.5
2752,4.5,4.42830882353,4.5
2753,4.5,4.11492443325,4.0
2772,4.5,4.85080645161,5.0
2772,4.5,4.85080645161,5.0
2780,5.0,4.42830882353,4.5
2780,5.0,4.42830882353,4.5
2783,4.5,4.48761609907,4.5
2786,4.0,4.07113303628,4.0
2797,4.5,4.3115942029,4.5
2807,5.0,3.72427502339,3.5
2818,4.5,3.98581757508,4.0
2820,4.5,3.98581757508,4.0
2824,4.0,4.11492443325,4.0
2838,4.5,4.02077656676,4.0
2849,4.5,3.72427502339,3.5
2851,4.0,4.11492443325,4.0
2852,4.5,4.11492443325,4.0
2860,4.5,4.42830882353,4.5
2862,4.5,4.3115942029,4.5
2862,4.5,4.3115942029,4.5
2866,4.0,4.11492443325,4.0
2899,4.5,4.07113303628,4.0
2900,3.5,4.50833333333,4.5
2903,4.5,4.48761609907,4.5
2905,5.0,4.31882440476,4.5
2908,4.5,4.07113303628,4.0
2931,4.5,4.3115942029,4.5
2935,4.5,4.50833333333,4.5
2939,4.5,4.11492443325,4.0
2940,4.0,4.42830882353,4.5
2941,5.0,4.11492443325,4.0
2945,4.5,4.31882440476,4.5
2949,4.5,4.11492443325,4.0
2955,4.5,4.61350574713,4.5
2962,4.5,3.72427502339,3.5
2976,4.5,4.25389518414,4.5
2979,4.5,4.07113303628,4.0
2980,4.0,4.11492443325,4.0
2984,4.0,4.25389518414,4.5
2999,4.0,4.11492443325,4.0
3000,3.0,4.42830882353,4.5
3024,4.0,4.48761609907,4.5
3035,4.5,4.25389518414,4.5
3035,4.5,4.25389518414,4.5
3036,3.5,4.3115942029,4.5
3037,5.0,4.3115942029,4.5
3044,4.5,4.42830882353,4.5
3045,4.0,4.61350574713,4.5
3046,4.5,3.72427502339,3.5
3049,5.0,4.11492443325,4.0
3058,4.5,4.07113303628,4.0
3067,4.5,4.25389518414,4.5
3073,3.5,4.25389518414,4.5
3074,4.5,4.11492443325,4.0
3074,4.5,4.11492443325,4.0
3080,3.0,4.07113303628,4.0
3091,4.0,4.11492443325,4.0
3107,4.5,3.72427502339,3.5
3116,4.0,4.49681528662,4.5
3117,5.0,4.42830882353,4.5
3124,4.0,4.61350574713,4.5
3147,4.5,4.50833333333,4.5
3151,4.0,4.3115942029,4.5
3152,4.0,4.07113303628,4.0
3153,4.5,3.72427502339,3.5
3158,4.5,4.85080645161,5.0
3159,4.5,4.31882440476,4.5
3161,4.5,4.02077656676,4.0
3162,5.0,4.42830882353,4.5
3164,5.0,4.42830882353,4.5
3170,4.5,4.07113303628,4.0
3174,5.0,4.07113303628,4.0
3183,4.5,4.42830882353,4.5
3189,4.5,4.07113303628,4.0
3195,4.5,4.3115942029,4.5
3201,5.0,4.85080645161,5.0
3211,4.5,4.42830882353,4.5
3215,4.0,4.11492443325,4.0
3219,4.5,4.11492443325,4.0
3220,4.5,3.25148179509,3.5
3226,3.0,4.02077656676,4.0
3234,5.0,4.07113303628,4.0
3238,4.0,4.42830882353,4.5
3247,5.0,3.72427502339,3.5
3259,5.0,4.3115942029,4.5
3267,3.5,4.31882440476,4.5
3267,3.5,4.31882440476,4.5
3279,4.5,4.48761609907,4.5
3280,4.0,4.31882440476,4.5
3287,5.0,4.50833333333,4.5
3288,5.0,4.48761609907,4.5
3297,4.0,4.42830882353,4.5
3299,4.0,4.50833333333,4.5
3318,4.5,4.02077656676,4.0
3327,4.0,4.31882440476,4.5
3327,4.0,4.31882440476,4.5
3328,4.5,4.3115942029,4.5
3338,4.0,4.85080645161,5.0
3343,2.5,4.61350574713,4.5
3345,3.5,4.31882440476,4.5
3355,4.5,4.31882440476,4.5
3357,5.0,4.31882440476,4.5
3360,4.0,4.07113303628,4.0
3378,4.5,3.64806866953,3.5
3381,5.0,4.07113303628,4.0
3396,5.0,4.19736842105,4.0
3401,4.0,4.71428571429,4.5
3406,5.0,4.07113303628,4.0
3416,4.0,4.61350574713,4.5
3425,5.0,3.53464673913,3.5
3429,5.0,4.3115942029,4.5
3433,5.0,3.72427502339,3.5
3434,4.0,4.25389518414,4.5
3436,4.5,4.11492443325,4.0
3436,4.5,4.11492443325,4.0
3441,4.5,4.25389518414,4.5
3443,4.0,3.72427502339,3.5
3446,4.5,4.11492443325,4.0
3446,4.5,4.11492443325,4.0
3448,5.0,4.42830882353,4.5
3475,5.0,4.25389518414,4.5
3475,5.0,4.25389518414,4.5
3480,4.0,2.82460732984,3.0
3485,4.0,3.25148179509,3.5
3489,4.0,3.28260869565,3.5
3492,5.0,3.72427502339,3.5
3516,4.0,3.72427502339,3.5
3527,4.5,3.72427502339,3.5
3532,4.0,4.23107569721,4.0
3532,4.0,4.23107569721,4.0
3548,4.5,4.42830882353,4.5
3552,4.0,4.31882440476,4.5
3557,3.5,4.02077656676,4.0
3566,4.0,4.31882440476,4.5
3568,4.5,4.07113303628,4.0
3593,5.0,4.23107569721,4.0
3601,4.0,4.3115942029,4.5
3605,4.0,3.72427502339,3.5
3612,3.5,4.25389518414,4.5
3614,4.5,4.11492443325,4.0
3622,5.0,4.11492443325,4.0
3628,4.0,2.39285714286,2.5
3633,4.0,3.53464673913,3.5
3635,4.5,4.02077656676,4.0
3637,4.0,3.72427502339,3.5
3641,5.0,4.31882440476,4.5
3646,5.0,4.25389518414,4.5
3657,4.5,4.11492443325,4.0
3659,4.0,4.3115942029,4.5
3662,5.0,3.72427502339,3.5
3664,4.5,4.11492443325,4.0
3669,4.0,4.42830882353,4.5
3676,5.0,4.11492443325,4.0
3678,4.5,4.25389518414,4.5
3705,5.0,4.48761609907,4.5
3706,4.5,4.11492443325,4.0
3709,4.0,4.11492443325,4.0
3712,4.5,3.98581757508,4.0
3714,5.0,3.72427502339,3.5
3720,5.0,4.07113303628,4.0
3734,3.5,4.31882440476,4.5
3736,4.5,4.11492443325,4.0
3753,5.0,4.11492443325,4.0
3765,4.0,4.07113303628,4.0
3772,4.0,4.25389518414,4.5
3780,4.0,3.25148179509,3.5
3785,5.0,3.98581757508,4.0
3786,4.5,4.3115942029,4.5
3802,4.5,4.42830882353,4.5
3803,4.0,4.31882440476,4.5
3808,4.5,4.50833333333,4.5
3818,4.0,4.07113303628,4.0
3834,4.5,4.85080645161,5.0
3837,4.0,4.42830882353,4.5
3838,4.0,4.23107569721,4.0
3854,4.5,4.07113303628,4.0
3855,4.5,4.61350574713,4.5
3888,4.0,4.31882440476,4.5
3892,4.5,4.31882440476,4.5
3893,4.5,4.50833333333,4.5
3893,4.5,4.50833333333,4.5
3897,5.0,4.02077656676,4.0
3897,5.0,4.02077656676,4.0
3903,5.0,4.07113303628,4.0
3917,5.0,3.72427502339,3.5
3918,4.5,4.42830882353,4.5
3922,4.5,3.69511149228,3.5
3939,4.0,4.3115942029,4.5
3950,4.0,3.72427502339,3.5
3952,5.0,4.31882440476,4.5
3957,4.5,4.25389518414,4.5
3959,5.0,3.72427502339,3.5
3960,4.0,4.42830882353,4.5
3970,3.5,4.07113303628,4.0
3973,4.5,4.31882440476,4.5
3975,4.5,4.42830882353,4.5
3982,4.5,4.11492443325,4.0
3994,4.5,4.48761609907,4.5
4007,4.5,3.72427502339,3.5
4012,3.5,4.07113303628,4.0
4018,4.0,4.02077656676,4.0
4020,4.0,4.07113303628,4.0
4025,4.0,4.11492443325,4.0
4036,4.5,3.72427502339,3.5
4037,5.0,3.72427502339,3.5
4048,4.5,2.19110576923,2.0
4056,4.0,4.25389518414,4.5
4059,4.5,3.64806866953,3.5
4059,4.5,3.64806866953,3.5
4071,4.5,4.11492443325,4.0
4076,4.0,4.02077656676,4.0
4078,4.0,3.98581757508,4.0
4092,4.5,4.42830882353,4.5
4095,4.0,4.07113303628,4.0
4096,4.5,4.42830882353,4.5
4097,5.0,3.72427502339,3.5
4100,3.0,4.3115942029,4.5
4100,3.0,4.3115942029,4.5
4102,4.0,3.72427502339,3.5
4117,4.0,4.11492443325,4.0
4130,4.5,4.11492443325,4.0
4131,4.5,4.31882440476,4.5
4160,4.5,4.31882440476,4.5
4163,4.5,3.72427502339,3.5
4168,4.5,4.61350574713,4.5
4170,4.5,4.42830882353,4.5
4172,4.5,4.61350574713,4.5
4173,4.0,4.50833333333,4.5
4177,4.0,4.42830882353,4.5
4183,4.5,4.48761609907,4.5
4189,4.5,4.31882440476,4.5
4191,4.5,4.11492443325,4.0
4198,4.0,4.36813186813,4.5
4202,4.5,4.42830882353,4.5
4214,4.5,4.50833333333,4.5
4227,4.0,4.48761609907,4.5
4229,4.0,4.48761609907,4.5
4231,5.0,4.85080645161,5.0
4236,4.0,4.42830882353,4.5
4239,4.0,4.61350574713,4.5
4250,4.0,4.31882440476,4.5
4254,4.0,4.31882440476,4.5
4256,4.5,4.11492443325,4.0
4259,5.0,4.50833333333,4.5
4279,4.5,4.07113303628,4.0
4284,4.5,4.61350574713,4.5
4284,4.5,4.61350574713,4.5
4292,5.0,4.31882440476,4.5
4305,4.0,4.48761609907,4.5
4307,3.0,4.61350574713,4.5
4309,4.0,4.07113303628,4.0
4312,4.5,4.61350574713,4.5
4318,4.5,3.72427502339,3.5
4322,4.5,4.61350574713,4.5
4323,4.5,4.61350574713,4.5
4324,4.5,4.61350574713,4.5
4333,4.5,4.11492443325,4.0
4343,4.0,4.36813186813,4.5
4352,5.0,4.71428571429,4.5
4360,4.5,4.50833333333,4.5
4366,4.5,3.67391304348,3.5
4367,4.5,4.42830882353,4.5
4370,4.5,4.11492443325,4.0
4374,5.0,4.11492443325,4.0
4380,4.5,4.49681528662,4.5
4394,4.5,4.61350574713,4.5
4398,4.5,4.61350574713,4.5
4405,4.5,4.85080645161,5.0
4406,3.5,4.50833333333,4.5
4413,3.5,4.50833333333,4.5
4475,4.5,4.42830882353,4.5
4476,4.5,4.3115942029,4.5
4479,4.5,4.3115942029,4.5
4491,4.5,4.42830882353,4.5
4494,5.0,4.19736842105,4.0
4528,4.5,4.85080645161,5.0
4533,4.5,4.3115942029,4.5
4548,5.0,3.72427502339,3.5
4550,5.0,4.07113303628,4.0
4551,5.0,3.98581757508,4.0
4564,4.0,4.19736842105,4.0
4565,4.5,4.07113303628,4.0
4569,5.0,4.25389518414,4.5
4587,4.5,4.25389518414,4.5
4597,4.5,4.11492443325,4.0
4597,4.5,4.11492443325,4.0
4600,4.5,4.31882440476,4.5
4618,4.5,4.11492443325,4.0
4621,4.5,3.76923076923,4.0
4627,5.0,4.42830882353,4.5
4641,5.0,3.67391304348,3.5
4647,5.0,2.75160599572,3.0
4664,5.0,3.98581757508,4.0
4665,5.0,4.25389518414,4.5
4673,4.5,4.42830882353,4.5
4673,4.5,4.42830882353,4.5
4696,4.5,4.48761609907,4.5
4708,4.0,4.25389518414,4.5
4710,5.0,4.61350574713,4.5
4714,5.0,4.60416666667,4.5
4727,4.5,3.98581757508,4.0
4734,4.5,4.25389518414,4.5
4735,4.5,4.85080645161,5.0
4744,3.5,4.3115942029,4.5
4760,3.5,3.72427502339,3.5
4768,5.0,3.16890881913,3.0
4775,4.5,4.07113303628,4.0
4788,5.0,4.02077656676,4.0
4789,5.0,3.98581757508,4.0
4799,5.0,4.07113303628,4.0
4801,5.0,3.86979166667,4.0
4802,4.5,3.72427502339,3.5
4813,4.5,4.25389518414,4.5
4818,4.5,4.3115942029,4.5
4828,4.5,2.82460732984,3.0
4835,5.0,4.42830882353,4.5
4846,4.0,4.23107569721,4.0
4846,4.0,4.23107569721,4.0
4863,4.5,4.25389518414,4.5
4868,3.5,4.50833333333,4.5
4876,5.0,3.44642857143,3.5
4878,4.5,4.07113303628,4.0
4891,5.0,4.11492443325,4.0
4892,5.0,4.11492443325,4.0
4894,4.5,4.3115942029,4.5
4897,4.0,4.71428571429,4.5
4908,4.0,3.98581757508,4.0
4910,5.0,4.07113303628,4.0
4912,4.5,4.07113303628,4.0
4917,5.0,3.5,3.5
4918,4.5,4.23107569721,4.0
4940,3.5,2.19110576923,2.0
4952,4.5,4.07113303628,4.0
4967,4.5,2.75,3.0
4970,4.5,3.72427502339,3.5
4980,4.5,4.25389518414,4.5
4981,4.5,4.07113303628,4.0
4988,4.5,4.61350574713,4.5
4997,4.0,4.11492443325,4.0
5026,4.0,2.19110576923,2.0
5028,4.0,4.25389518414,4.5
5031,4.0,4.61350574713,4.5
5031,4.0,4.61350574713,4.5
5040,4.0,2.75160599572,3.0
5050,5.0,4.42830882353,4.5
5055,4.5,4.07113303628,4.0
5056,4.5,4.02077656676,4.0
5059,5.0,4.07113303628,4.0
5062,4.5,4.31882440476,4.5
5068,4.0,3.25148179509,3.5
5074,5.0,4.19736842105,4.0
5110,4.0,4.07113303628,4.0
5111,4.5,3.25148179509,3.5
