,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
47663,289,Saint Ides Brewing Company,1199075823,2.0,2.5,3.5,ism,American Malt Liquor,3.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47664,289,Saint Ides Brewing Company,1192765990,3.0,3.0,3.0,VicVonFoam,American Malt Liquor,3.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47665,289,Saint Ides Brewing Company,1183933862,5.0,3.0,4.0,saintidesofmarch,American Malt Liquor,3.5,4.0,St. Ides High Gravity Malt Liquor,8.2,798
47666,289,Saint Ides Brewing Company,1183584866,5.0,4.0,5.0,dirtystides,American Malt Liquor,4.0,5.0,St. Ides High Gravity Malt Liquor,8.2,798
47667,289,Saint Ides Brewing Company,1182781159,2.5,2.5,3.5,BuckeyeNation,American Malt Liquor,3.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47668,289,Saint Ides Brewing Company,1182371710,4.0,4.0,4.0,Roydrinksitall,American Malt Liquor,3.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47669,289,Saint Ides Brewing Company,1180146456,2.0,2.0,2.0,nlmartin,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47670,289,Saint Ides Brewing Company,1175658345,2.0,1.0,2.0,rhythmguitartz88,American Malt Liquor,1.5,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47671,289,Saint Ides Brewing Company,1175119087,4.0,3.0,4.0,freebird2480,American Malt Liquor,3.0,4.0,St. Ides High Gravity Malt Liquor,8.2,798
47672,289,Saint Ides Brewing Company,1172125572,4.5,4.0,3.5,troobie,American Malt Liquor,4.0,4.5,St. Ides High Gravity Malt Liquor,8.2,798
47673,289,Saint Ides Brewing Company,1168705898,1.0,1.0,3.0,JoeyBeerBelly,American Malt Liquor,1.5,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47674,289,Saint Ides Brewing Company,1161540429,3.5,2.0,4.0,thatdude0607,American Malt Liquor,3.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47675,289,Saint Ides Brewing Company,1157666909,1.0,1.0,2.0,BeefnBeer,American Malt Liquor,1.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47676,289,Saint Ides Brewing Company,1155712355,3.0,2.0,4.0,Dzugashvili,American Malt Liquor,2.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47677,289,Saint Ides Brewing Company,1155313010,1.0,2.0,3.5,mrasskicktastic,American Malt Liquor,2.0,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47678,289,Saint Ides Brewing Company,1154729944,3.0,3.0,3.5,NeroFiddled,American Malt Liquor,3.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47679,289,Saint Ides Brewing Company,1153260615,2.0,3.0,3.5,scottoale,American Malt Liquor,2.5,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47680,289,Saint Ides Brewing Company,1106192764,1.0,2.0,2.5,TheDeuce,American Malt Liquor,1.5,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47681,289,Saint Ides Brewing Company,1150754952,1.5,2.5,3.5,WVbeergeek,American Malt Liquor,1.5,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47682,289,Saint Ides Brewing Company,1149119039,1.5,2.0,1.5,Manosbeeroffate,American Malt Liquor,1.5,1.0,St. Ides High Gravity Malt Liquor,8.2,798
47683,289,Saint Ides Brewing Company,1148087811,2.5,1.5,3.0,jmh210,American Malt Liquor,2.0,4.0,St. Ides High Gravity Malt Liquor,8.2,798
47684,289,Saint Ides Brewing Company,1141377511,2.5,2.5,3.0,Phatz,American Malt Liquor,3.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47685,289,Saint Ides Brewing Company,1130034587,1.0,1.5,3.5,mentor,American Malt Liquor,3.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47686,289,Saint Ides Brewing Company,1127061857,3.0,2.5,2.0,Jarod,American Malt Liquor,3.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47687,289,Saint Ides Brewing Company,1124585968,3.5,3.5,3.5,Pegasus,American Malt Liquor,3.5,3.5,St. Ides High Gravity Malt Liquor,8.2,798
47688,289,Saint Ides Brewing Company,1123889013,1.0,1.5,1.5,twelvsies,American Malt Liquor,1.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47689,289,Saint Ides Brewing Company,1121478647,1.5,2.0,3.0,PBRstreetgang,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47691,289,Saint Ides Brewing Company,1080752264,3.0,2.0,2.0,99bottles,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47692,289,Saint Ides Brewing Company,1063248670,2.0,2.0,2.0,Frozensoul327,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47693,289,Saint Ides Brewing Company,1060220492,3.0,3.0,3.5,NeroFiddled,American Malt Liquor,3.0,3.0,St. Ides High Gravity Malt Liquor,8.2,798
47694,289,Saint Ides Brewing Company,1051739277,1.5,1.5,3.0,dual1246,American Malt Liquor,2.0,1.5,St. Ides High Gravity Malt Liquor,8.2,798
47695,289,Saint Ides Brewing Company,1046362707,3.5,2.5,2.0,tang214,American Malt Liquor,2.5,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47696,289,Saint Ides Brewing Company,1045374654,1.5,1.5,2.0,deckjohn,American Malt Liquor,1.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47697,289,Saint Ides Brewing Company,1044636683,2.0,2.5,3.0,Shiloh,American Malt Liquor,3.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47698,289,Saint Ides Brewing Company,1036158065,2.5,2.5,3.5,bditty187,American Malt Liquor,3.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47699,289,Saint Ides Brewing Company,1025631671,4.0,3.5,3.0,BeerBob,American Malt Liquor,4.0,4.0,St. Ides High Gravity Malt Liquor,8.2,798
47700,289,Saint Ides Brewing Company,1024749520,2.5,2.5,3.5,budgood1,American Malt Liquor,3.0,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47701,289,Saint Ides Brewing Company,1024384848,2.5,2.5,2.5,psugrad98,American Malt Liquor,2.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47702,289,Saint Ides Brewing Company,1020082848,3.0,1.0,2.0,Tim,American Malt Liquor,2.5,2.0,St. Ides High Gravity Malt Liquor,8.2,798
47703,289,Saint Ides Brewing Company,1019584918,3.5,2.5,2.5,IrishRedRock,American Malt Liquor,2.5,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47704,289,Saint Ides Brewing Company,1016863685,3.0,2.5,2.0,Jason,American Malt Liquor,3.5,2.5,St. Ides High Gravity Malt Liquor,8.2,798
47705,289,Saint Ides Brewing Company,1012832514,3.0,1.5,2.0,fdoosey,American Malt Liquor,2.0,2.0,St. Ides High Gravity Malt Liquor,8.2,798
60561,16866,The Bruery,1310178401,4.0,3.5,4.0,HuskyinPDX,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60620,16866,The Bruery,1321844751,3.5,3.5,4.0,mikesgroove,American Malt Liquor,3.0,3.5,Cornballer,9.5,66625
60621,16866,The Bruery,1318023535,5.0,4.5,3.0,allyourbeers,American Malt Liquor,4.0,5.0,Cornballer,9.5,66625
60622,16866,The Bruery,1312541560,3.5,3.5,3.5,dgilks,American Malt Liquor,3.5,4.0,Cornballer,9.5,66625
60623,16866,The Bruery,1312204666,3.5,3.0,3.5,Urbancaver,American Malt Liquor,3.5,3.5,Cornballer,9.5,66625
60624,16866,The Bruery,1311746193,3.5,4.0,3.5,DarthKostrizer,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60625,16866,The Bruery,1309928031,4.0,4.0,3.0,marqoid,American Malt Liquor,3.5,4.0,Cornballer,9.5,66625
60626,16866,The Bruery,1306995900,4.0,4.0,4.0,DoubleJ,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60627,16866,The Bruery,1306737617,3.5,4.0,3.5,xnicknj,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60628,16866,The Bruery,1306466187,3.5,3.0,3.5,beagle75,American Malt Liquor,3.5,3.5,Cornballer,9.5,66625
60629,16866,The Bruery,1303830458,4.5,4.5,4.0,jsanford,American Malt Liquor,4.5,4.0,Cornballer,9.5,66625
60630,16866,The Bruery,1303328722,4.0,4.5,3.5,snpub540,American Malt Liquor,3.5,4.0,Cornballer,9.5,66625
60631,16866,The Bruery,1302933080,4.5,5.0,3.0,Beerandraiderfan,American Malt Liquor,4.0,5.0,Cornballer,9.5,66625
60632,16866,The Bruery,1302758068,4.0,4.0,4.0,jethrodium,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60634,16866,The Bruery,1302679236,4.0,4.5,4.0,DovaliHops,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60635,16866,The Bruery,1302479004,4.0,4.5,4.0,largadeer,American Malt Liquor,3.5,4.5,Cornballer,9.5,66625
60636,16866,The Bruery,1301956640,4.0,3.5,4.0,dragonWhale,American Malt Liquor,3.5,4.5,Cornballer,9.5,66625
60637,16866,The Bruery,1301519429,1.5,2.5,4.0,errantnight,American Malt Liquor,2.0,1.5,Cornballer,9.5,66625
60638,16866,The Bruery,1301398339,4.0,4.0,4.0,Overlord,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60639,16866,The Bruery,1301109602,4.0,3.5,3.5,FosterJM,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60640,16866,The Bruery,1300587044,4.0,4.0,4.5,Sean9689,American Malt Liquor,4.5,4.0,Cornballer,9.5,66625
60641,16866,The Bruery,1300586345,3.5,4.0,4.5,AgentZero,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60642,16866,The Bruery,1300585986,4.0,4.5,4.0,jrallen34,American Malt Liquor,4.5,4.0,Cornballer,9.5,66625
60643,16866,The Bruery,1300383786,4.0,4.5,3.5,mrkrispy,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60644,16866,The Bruery,1299526978,4.0,4.0,3.5,Retsinis,American Malt Liquor,3.5,3.5,Cornballer,9.5,66625
60645,16866,The Bruery,1299524860,4.0,4.0,4.0,ShogoKawada,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60646,16866,The Bruery,1299445048,3.5,3.5,2.5,vacax,American Malt Liquor,3.5,3.0,Cornballer,9.5,66625
60647,16866,The Bruery,1299383069,4.0,4.0,3.5,Gobzilla,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60648,16866,The Bruery,1299373633,4.5,4.0,5.0,raiders4ever,American Malt Liquor,4.5,4.5,Cornballer,9.5,66625
60650,16866,The Bruery,1299349468,5.0,4.5,4.0,MasterSki,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
60651,16866,The Bruery,1299309986,5.0,4.5,3.5,nkersten,American Malt Liquor,4.0,4.5,Cornballer,9.5,66625
60652,16866,The Bruery,1299006916,3.5,3.5,4.0,womencantsail,American Malt Liquor,4.0,3.5,Cornballer,9.5,66625
60653,16866,The Bruery,1298797817,3.0,4.5,2.5,vince4953529,American Malt Liquor,3.0,3.0,Cornballer,9.5,66625
60654,16866,The Bruery,1298768339,1.0,2.5,3.5,ptykozoon,American Malt Liquor,3.0,2.0,Cornballer,9.5,66625
60655,16866,The Bruery,1298753878,4.0,3.0,3.5,Sideswipe,American Malt Liquor,3.5,4.0,Cornballer,9.5,66625
60656,16866,The Bruery,1298685082,3.0,3.5,4.0,Halcyondays,American Malt Liquor,4.0,4.0,Cornballer,9.5,66625
80372,3032,Hawks Brewing,1150501464,4.0,3.0,4.5,BuckeyeNation,American Malt Liquor,4.0,4.0,Imperial Gold Malt Liquor,9.9,10404
110199,3032,Hawks Brewing,1139698400,5.0,4.0,4.5,wccrowley,American Malt Liquor,3.5,4.5,Imperial Gold Malt Liquor,9.9,10404
110200,3032,Hawks Brewing,1113616800,2.0,2.0,3.5,RedDiamond,American Malt Liquor,2.5,2.5,Imperial Gold Malt Liquor,9.9,10404
110201,3032,Hawks Brewing,1093712353,2.5,3.0,4.0,freed,American Malt Liquor,2.5,3.5,Imperial Gold Malt Liquor,9.9,10404
110202,3032,Hawks Brewing,1070240418,3.5,3.5,4.0,beerguy101,American Malt Liquor,3.5,3.5,Imperial Gold Malt Liquor,9.9,10404
110203,3032,Hawks Brewing,1055721697,2.5,3.5,3.5,feloniousmonk,American Malt Liquor,3.5,3.0,Imperial Gold Malt Liquor,9.9,10404
110828,2171,Four Peaks Brewing Company,1312051982,4.0,3.5,4.0,Rampage1,American Malt Liquor,4.0,4.0,ML209,8.2,69199
110829,2171,Four Peaks Brewing Company,1307916604,3.5,3.5,3.5,ottovon,American Malt Liquor,4.0,3.0,ML209,8.2,69199
110830,2171,Four Peaks Brewing Company,1307249007,4.0,3.5,3.0,trappistlover,American Malt Liquor,3.0,4.0,ML209,8.2,69199
110831,2171,Four Peaks Brewing Company,1307071659,3.5,4.0,3.5,BretSikkink,American Malt Liquor,4.0,3.5,ML209,8.2,69199
110832,2171,Four Peaks Brewing Company,1305755680,4.0,3.5,4.0,Phelps,American Malt Liquor,4.5,4.0,ML209,8.2,69199
120083,302,Genesee Brewing Co. / Dundee Brewing Co.,1325502233,2.0,1.0,2.5,Lawl3ss,American Malt Liquor,2.0,1.5,Dog Bite High Gravity Lager,10.0,63623
120084,302,Genesee Brewing Co. / Dundee Brewing Co.,1323562996,1.5,1.5,3.0,Zorro,American Malt Liquor,3.0,1.5,Dog Bite High Gravity Lager,10.0,63623
120085,302,Genesee Brewing Co. / Dundee Brewing Co.,1322958636,2.0,2.0,3.0,emerge077,American Malt Liquor,1.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120086,302,Genesee Brewing Co. / Dundee Brewing Co.,1321919096,4.0,4.0,4.0,industrialswill,American Malt Liquor,4.0,4.0,Dog Bite High Gravity Lager,10.0,63623
120087,302,Genesee Brewing Co. / Dundee Brewing Co.,1320404270,2.0,2.5,3.0,thekevlarkid,American Malt Liquor,2.5,1.5,Dog Bite High Gravity Lager,10.0,63623
120088,302,Genesee Brewing Co. / Dundee Brewing Co.,1319247047,1.5,2.0,2.0,BeerHERE2010,American Malt Liquor,1.0,1.0,Dog Bite High Gravity Lager,10.0,63623
120089,302,Genesee Brewing Co. / Dundee Brewing Co.,1317501051,3.0,2.5,2.5,RonaldTheriot,American Malt Liquor,3.0,3.0,Dog Bite High Gravity Lager,10.0,63623
120090,302,Genesee Brewing Co. / Dundee Brewing Co.,1316125874,2.0,2.0,3.5,AlCaponeJunior,American Malt Liquor,2.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120091,302,Genesee Brewing Co. / Dundee Brewing Co.,1314657223,2.0,3.0,4.0,baconsausage,American Malt Liquor,2.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120092,302,Genesee Brewing Co. / Dundee Brewing Co.,1314316298,2.5,2.5,1.5,lwillitz,American Malt Liquor,3.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120093,302,Genesee Brewing Co. / Dundee Brewing Co.,1313809897,1.5,2.0,1.5,zdk9,American Malt Liquor,1.5,1.0,Dog Bite High Gravity Lager,10.0,63623
120094,302,Genesee Brewing Co. / Dundee Brewing Co.,1313034113,1.5,1.0,2.0,TheManiacalOne,American Malt Liquor,2.0,1.0,Dog Bite High Gravity Lager,10.0,63623
120095,302,Genesee Brewing Co. / Dundee Brewing Co.,1310188038,1.0,1.5,2.0,ElCommodoro,American Malt Liquor,3.5,4.0,Dog Bite High Gravity Lager,10.0,63623
120096,302,Genesee Brewing Co. / Dundee Brewing Co.,1290882097,1.0,1.0,1.0,Beerbuddha,American Malt Liquor,1.0,1.0,Dog Bite High Gravity Lager,10.0,63623
120097,302,Genesee Brewing Co. / Dundee Brewing Co.,1309719951,2.0,1.0,3.0,twiggamortis420,American Malt Liquor,1.5,2.0,Dog Bite High Gravity Lager,10.0,63623
120098,302,Genesee Brewing Co. / Dundee Brewing Co.,1309660372,4.5,4.5,2.5,ZenAgnostic,American Malt Liquor,3.5,4.0,Dog Bite High Gravity Lager,10.0,63623
120099,302,Genesee Brewing Co. / Dundee Brewing Co.,1308962142,2.0,2.0,4.0,Pegasus,American Malt Liquor,4.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120100,302,Genesee Brewing Co. / Dundee Brewing Co.,1305939198,2.5,2.0,3.5,cpolking,American Malt Liquor,1.5,1.5,Dog Bite High Gravity Lager,10.0,63623
120101,302,Genesee Brewing Co. / Dundee Brewing Co.,1305836919,4.0,3.0,3.0,keeganfrank,American Malt Liquor,4.0,4.0,Dog Bite High Gravity Lager,10.0,63623
120102,302,Genesee Brewing Co. / Dundee Brewing Co.,1305179736,3.0,1.5,3.5,womencantsail,American Malt Liquor,3.5,3.5,Dog Bite High Gravity Lager,10.0,63623
120103,302,Genesee Brewing Co. / Dundee Brewing Co.,1303684238,2.0,2.5,3.0,Mora2000,American Malt Liquor,2.5,2.5,Dog Bite High Gravity Lager,10.0,63623
120104,302,Genesee Brewing Co. / Dundee Brewing Co.,1290140817,2.0,3.0,3.0,generalnotsew,American Malt Liquor,1.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120106,302,Genesee Brewing Co. / Dundee Brewing Co.,1303663647,3.0,3.0,3.0,beerthulhu,American Malt Liquor,3.5,3.5,Dog Bite High Gravity Lager,10.0,63623
120107,302,Genesee Brewing Co. / Dundee Brewing Co.,1303054870,4.0,3.0,3.0,mainer88,American Malt Liquor,4.0,4.0,Dog Bite High Gravity Lager,10.0,63623
120108,302,Genesee Brewing Co. / Dundee Brewing Co.,1301352491,2.0,2.0,2.5,pezfiend,American Malt Liquor,2.5,1.5,Dog Bite High Gravity Lager,10.0,63623
120109,302,Genesee Brewing Co. / Dundee Brewing Co.,1299442782,1.5,2.0,3.0,Hoagie1973,American Malt Liquor,3.0,2.0,Dog Bite High Gravity Lager,10.0,63623
120110,302,Genesee Brewing Co. / Dundee Brewing Co.,1298063273,1.5,1.5,1.5,beerprovedwright,American Malt Liquor,2.5,1.5,Dog Bite High Gravity Lager,10.0,63623
120111,302,Genesee Brewing Co. / Dundee Brewing Co.,1297892280,3.0,2.0,4.5,woodychandler,American Malt Liquor,2.5,3.0,Dog Bite High Gravity Lager,10.0,63623
120112,302,Genesee Brewing Co. / Dundee Brewing Co.,1297285720,2.0,1.0,2.0,JMad,American Malt Liquor,1.5,1.0,Dog Bite High Gravity Lager,10.0,63623
120113,302,Genesee Brewing Co. / Dundee Brewing Co.,1296451589,2.5,3.0,2.5,jsprain1,American Malt Liquor,1.5,1.5,Dog Bite High Gravity Lager,10.0,63623
120114,302,Genesee Brewing Co. / Dundee Brewing Co.,1296403474,1.5,2.5,3.0,tone77,American Malt Liquor,2.5,2.0,Dog Bite High Gravity Lager,10.0,63623
120115,302,Genesee Brewing Co. / Dundee Brewing Co.,1293559288,1.0,1.5,2.0,yesyouam,American Malt Liquor,3.0,1.0,Dog Bite High Gravity Lager,10.0,63623
120116,302,Genesee Brewing Co. / Dundee Brewing Co.,1290053100,3.5,2.0,2.5,mactrail,American Malt Liquor,2.5,2.0,Dog Bite High Gravity Lager,10.0,63623
128506,848,Bristol Brewing Company,1156476918,4.0,4.5,4.0,dauss,American Malt Liquor,4.0,4.0,Bristol Malt Liquor,,32456
132494,5318,Port Brewing Company / Pizza Port,1230651779,2.5,3.0,3.0,Dogbrick,American Malt Liquor,3.0,2.5,Brown Bag Malt Liquor,6.7,13951
132495,5318,Port Brewing Company / Pizza Port,1228952006,2.5,2.5,3.0,magictrokini,American Malt Liquor,2.5,2.5,Brown Bag Malt Liquor,6.7,13951
132496,5318,Port Brewing Company / Pizza Port,1081490661,2.5,2.5,2.0,ImperialScott,American Malt Liquor,4.0,2.5,Brown Bag Malt Liquor,6.7,13951
